Start Time:  05-06-2025 12:49:22          Time Completed:  05-06-2025 13:37:43      Elapsed Time:  00:48:20
Sample ID:     

Experiment:    C:\IDEASVSM\LS_QC\Experiments\MvsH_1\MvsH_1.exp
Data File:     C:\IDEASVSM\LS_QC\7A.txt
Plot File:     C:\IDEASVSM\LS_QC\7A.oc2
VSM Exp File:  C:\IDEASVSM\LS_QC\Experiments\MvsH_1\MvsH_1.stp
VSM Data File: C:\IDEASVSM\LS_QC\7A.dat

***DATA***

Field(G)	 Moment(emu)	
 19000 	 0.0324597 	
 18000 	 0.0324569 	
 17000 	 0.0324142 	
 16000 	 0.0323566 	
 15000 	 0.0322552 	
 14000 	 0.0321216 	
 13000 	 0.0319758 	
 12000 	 0.0318242 	
 11000 	 0.0316896 	
 10000 	 0.0317123 	
 8999.98 	 0.0316632 	
 7999.99 	 0.0314903 	
 7000 	 0.0312781 	
 6000.01 	 0.0308642 	
 5000 	 0.0304951 	
 3999.99 	 0.0300471 	
 3000.12 	 0.0293642 	
 1999.99 	 0.0283164 	
 999.987 	 0.0262598 	
 949.996 	 0.0259835 	
 899.979 	 0.0257102 	
 849.995 	 0.0254285 	
 800.002 	 0.0251161 	
 749.995 	 0.0247968 	
 699.991 	 0.024437 	
 649.996 	 0.0240244 	
 600.005 	 0.0235468 	
 549.995 	 0.0230143 	
 500.002 	 0.022394 	
 450 	 0.0216516 	
 399.997 	 0.0207725 	
 350.014 	 0.0196619 	
 299.992 	 0.0183322 	
 250.003 	 0.0166637 	
 199.999 	 0.0145732 	
 189.992 	 0.0138796 	
 179.994 	 0.0132513 	
 169.99 	 0.0126219 	
 160.004 	 0.0119831 	
 149.99 	 0.0113406 	
 139.995 	 0.0106684 	
 129.995 	 0.00998808 	
 120 	 0.00931294 	
 109.992 	 0.00863774 	
 99.9905 	 0.00796546 	
 90.0046 	 0.00704053 	
 79.9957 	 0.00643841 	
 69.9897 	 0.00580634 	
 59.9989 	 0.00517202 	
 50.0033 	 0.00455001 	
 40.0066 	 0.00384962 	
 30.0003 	 0.00327305 	
 19.992 	 0.00267479 	
 17.9952 	 0.0024792 	
 15.9972 	 0.00231413 	
 14.0012 	 0.00216179 	
 11.9985 	 0.00201402 	
 9.99088 	 0.0018691 	
 7.98957 	 0.00171841 	
 5.99848 	 0.00155257 	
 4.00688 	 0.00134829 	
 2.00983 	 0.00103711 	
 0.00291307 	 0.000200207 	
-1.99342 	-0.000763803 	
-3.99799 	-0.00105787 	
-5.99409 	-0.00123312 	
-7.99117 	-0.00136493 	
-9.99548 	-0.00147653 	
-12.0063 	-0.0015784 	
-14.0059 	-0.00167564 	
-16.0007 	-0.00177061 	
-18.0103 	-0.00186298 	
-20.0021 	-0.00195566 	
-29.9902 	-0.00239299 	
-39.9997 	-0.00285807 	
-50.0015 	-0.00335484 	
-60.0015 	-0.00388455 	
-70.0059 	-0.00444891 	
-79.9962 	-0.00513359 	
-90.0093 	-0.00571066 	
-100.003 	-0.00633794 	
-110.004 	-0.00698865 	
-119.993 	-0.00765262 	
-129.993 	-0.00832288 	
-139.999 	-0.00899676 	
-150.006 	-0.00967222 	
-160.004 	-0.0103303 	
-170.008 	-0.0110055 	
-180.001 	-0.0116392 	
-190 	-0.0122434 	
-200.002 	-0.0128379 	
-250.003 	-0.0151313 	
-299.994 	-0.0170374 	
-349.996 	-0.0185771 	
-400.001 	-0.0198238 	
-450.002 	-0.0208878 	
-500.008 	-0.0217362 	
-550.009 	-0.0224548 	
-600.009 	-0.0230468 	
-650.008 	-0.0235718 	
-700 	-0.02405 	
-749.999 	-0.0244588 	
-799.996 	-0.0247954 	
-849.996 	-0.0251173 	
-899.998 	-0.0254826 	
-950.009 	-0.0257126 	
-1000.01 	-0.0259505 	
-2000.01 	-0.0283258 	
-3000.02 	-0.02944 	
-4000.01 	-0.0300367 	
-5000.01 	-0.0302713 	
-6000.02 	-0.0304857 	
-7000.01 	-0.030699 	
-7999.99 	-0.0308607 	
-9000.02 	-0.0310301 	
-10000 	-0.0311918 	
-11000 	-0.0313854 	
-12000 	-0.0315476 	
-13000 	-0.0317231 	
-14000 	-0.0318681 	
-15000 	-0.0320398 	
-16000 	-0.0321726 	
-17000 	-0.0322854 	
-18000 	-0.0324467 	
-19000 	-0.0327212 	
-18000 	-0.0327449 	
-17000 	-0.0327697 	
-16000 	-0.0327198 	
-15000 	-0.0326155 	
-14000 	-0.0324928 	
-13000 	-0.0323469 	
-12000 	-0.0321937 	
-11000 	-0.0320234 	
-9999.99 	-0.0318359 	
-9000.01 	-0.0316166 	
-7999.99 	-0.0310142 	
-7000 	-0.0308123 	
-6000 	-0.0305865 	
-5000.03 	-0.0303006 	
-4000.01 	-0.0298744 	
-2999.91 	-0.0292849 	
-2000 	-0.0284944 	
-999.996 	-0.0262837 	
-950.007 	-0.0260049 	
-900.007 	-0.0257459 	
-849.999 	-0.0254786 	
-800.001 	-0.0251844 	
-750.003 	-0.02485 	
-699.997 	-0.0245142 	
-650.006 	-0.0240975 	
-600.001 	-0.0236329 	
-549.99 	-0.0231123 	
-499.992 	-0.0225061 	
-449.997 	-0.0217746 	
-399.991 	-0.0208963 	
-350.007 	-0.0198339 	
-300 	-0.0185216 	
-249.997 	-0.0168806 	
-199.991 	-0.0147824 	
-189.998 	-0.0141004 	
-180.011 	-0.0134717 	
-170.008 	-0.012834 	
-160 	-0.0122109 	
-149.997 	-0.0115607 	
-139.995 	-0.0108964 	
-129.996 	-0.0102112 	
-119.995 	-0.00951566 	
-110.001 	-0.00880952 	
-100.001 	-0.00810922 	
-90.0024 	-0.00741335 	
-80.0081 	-0.0067146 	
-70.0015 	-0.00602435 	
-59.9962 	-0.00534876 	
-49.9877 	-0.00468666 	
-40.0031 	-0.00395494 	
-30.0208 	-0.00336695 	
-19.9771 	-0.00276084 	
-18.0036 	-0.00256101 	
-15.9979 	-0.00239427 	
-14 	-0.00224264 	
-11.9936 	-0.00209493 	
-10.0013 	-0.00194846 	
-8.00668 	-0.00179386 	
-5.98389 	-0.0016235 	
-4.00245 	-0.00140978 	
-2.00513 	-0.00107287 	
-0.00424453 	-0.000140585 	
 2.00525 	 0.00081456 	
 4.00023 	 0.00111715 	
 6.00467 	 0.00129805 	
 8.00055 	 0.00143349 	
